Designator,Mid X,Mid Y,Rotation,Layer
ALIMENTACION1,123.675,-90.0,180.0,top
C1,128.875,-97.4,0.0,top
C10,115.5,-114.74,0.0,top
C11,123.24,-108.2,0.0,top
C12,123.24,-105.97,0.0,top
C13,161.1,-97.4,180.0,top
C14,158.68,-101.5475,270.0,top
C15,150.495,-96.659625,0.0,top
C16,139.065,-96.659625,0.0,top
C2,130.58,-101.5475,270.0,top
C3,109.75,-114.74,180.0,top
C4,109.75,-112.51,180.0,top
C5,131.0875,-133.25,180.0,top
C6,161.0375,-127.825,0.0,top
C7,123.24,-119.56,0.0,top
C8,123.24,-121.79,0.0,top
C9,115.5,-112.51,0.0,top
D1,168.15,-111.35,270.0,top
D2,110.6275,-87.45,180.0,top
DRIVTA6586-1,139.065,-104.17,90.0,top
DRIVTA6586-2,150.495,-104.175,90.0,top
J3,186.39,-112.2,180.0,top
J4,144.78,-138.49,270.0,top
J6_2,158.75,-70.63,270.0,top
J6,130.81,-70.77,90.0,top
J9,163.1975,-112.105,0.0,top
M1,139.065,-89.39375,180.0,top
M2,150.495,-89.39375,180.0,top
R1,110.65,-90.7,180.0,top
R2,102.15,-107.2,180.0,top
R3,102.15,-98.455,180.0,top
R4,102.15,-89.93,180.0,top
R5,182.58,-118.08,90.0,top
R6,161.05,-125.475,180.0,top
R7,161.05,-122.975,180.0,top
R8,185.12,-118.09,90.0,top
SW1,114.96,-95.45,270.0,top
SW10,161.675,-131.025,180.0,top
SW_BOOT1,161.725,-119.825,180.0,top
SW_BOOT2,92.5375,-107.2,0.0,top
SW_BOOT3,92.5375,-98.455,0.0,top
SW_BOOT4,92.5375,-89.93,0.0,top
U3,113.17,-120.66,180.0,top
U6,143.425,-121.96,90.0,top
U7,113.17,-107.13,180.0,top
